archivo,tiempo,recorte
ppt_001_00-11-40.jpg,00:11:40,x=0 y=68 w=1674 h=942
ppt_002_00-11-48.jpg,00:11:48,x=0 y=68 w=1674 h=942
ppt_003_00-16-30.jpg,00:16:30,x=0 y=68 w=1674 h=942
ppt_004_00-20-54.jpg,00:20:54,x=0 y=68 w=1674 h=942
ppt_005_00-24-20.jpg,00:24:20,x=0 y=68 w=1674 h=942
ppt_006_00-27-16.jpg,00:27:16,x=0 y=68 w=1674 h=942
ppt_007_00-27-32.jpg,00:27:32,x=0 y=68 w=1674 h=942
ppt_008_00-28-12.jpg,00:28:12,x=0 y=68 w=1674 h=942
ppt_009_00-30-14.jpg,00:30:14,x=0 y=68 w=1674 h=942
ppt_010_00-31-32.jpg,00:31:32,x=0 y=68 w=1674 h=942
ppt_011_00-32-18.jpg,00:32:18,x=0 y=68 w=1674 h=942
ppt_012_00-32-38.jpg,00:32:38,x=0 y=68 w=1674 h=942
ppt_013_00-32-44.jpg,00:32:44,x=0 y=68 w=1674 h=942
ppt_014_00-34-08.jpg,00:34:08,x=0 y=68 w=1674 h=942
ppt_015_00-37-12.jpg,00:37:12,x=0 y=68 w=1674 h=942
ppt_016_00-38-32.jpg,00:38:32,x=0 y=68 w=1674 h=942
ppt_017_00-39-40.jpg,00:39:40,x=0 y=68 w=1674 h=942
ppt_018_00-40-46.jpg,00:40:46,x=0 y=68 w=1674 h=942
ppt_019_00-42-48.jpg,00:42:48,x=0 y=68 w=1674 h=942
ppt_020_00-44-48.jpg,00:44:48,x=0 y=68 w=1674 h=942
ppt_021_00-46-12.jpg,00:46:12,x=0 y=68 w=1674 h=942
ppt_022_00-51-30.jpg,00:51:30,x=0 y=68 w=1674 h=942
ppt_023_00-52-24.jpg,00:52:24,x=0 y=68 w=1674 h=942
ppt_024_00-52-28.jpg,00:52:28,x=0 y=68 w=1674 h=942
ppt_025_00-55-54.jpg,00:55:54,x=0 y=68 w=1674 h=942
ppt_026_00-58-58.jpg,00:58:58,x=0 y=68 w=1674 h=942
ppt_027_00-59-10.jpg,00:59:10,x=0 y=68 w=1674 h=942
ppt_028_01-00-38.jpg,01:00:38,x=0 y=68 w=1674 h=942
ppt_029_01-03-10.jpg,01:03:10,x=0 y=68 w=1674 h=942
ppt_030_01-03-14.jpg,01:03:14,x=0 y=68 w=1674 h=942
ppt_031_01-07-26.jpg,01:07:26,x=0 y=68 w=1674 h=942
ppt_032_01-15-34.jpg,01:15:34,x=0 y=68 w=1674 h=942
ppt_033_01-15-40.jpg,01:15:40,x=0 y=68 w=1674 h=942
ppt_034_01-21-50.jpg,01:21:50,x=0 y=68 w=1674 h=942
ppt_035_01-22-46.jpg,01:22:46,x=0 y=68 w=1674 h=942
ppt_036_01-23-52.jpg,01:23:52,x=0 y=68 w=1674 h=942
ppt_037_01-26-28.jpg,01:26:28,x=0 y=68 w=1674 h=942
ppt_038_01-29-50.jpg,01:29:50,x=0 y=68 w=1674 h=942
ppt_039_01-32-00.jpg,01:32:00,x=0 y=68 w=1674 h=942
ppt_040_01-34-40.jpg,01:34:40,x=0 y=68 w=1674 h=942
ppt_041_01-34-54.jpg,01:34:54,x=0 y=68 w=1674 h=942
ppt_042_01-35-04.jpg,01:35:04,x=0 y=68 w=1674 h=942
ppt_043_01-36-14.jpg,01:36:14,x=0 y=68 w=1674 h=942
ppt_044_01-37-34.jpg,01:37:34,x=0 y=68 w=1674 h=942
ppt_045_01-39-50.jpg,01:39:50,x=0 y=68 w=1674 h=942
ppt_046_01-39-56.jpg,01:39:56,x=0 y=68 w=1674 h=942
ppt_047_01-41-42.jpg,01:41:42,x=0 y=68 w=1674 h=942
ppt_048_01-43-56.jpg,01:43:56,x=0 y=68 w=1674 h=942
ppt_049_01-44-32.jpg,01:44:32,x=0 y=68 w=1674 h=942
ppt_050_01-44-46.jpg,01:44:46,x=0 y=68 w=1674 h=942
ppt_051_01-47-34.jpg,01:47:34,x=0 y=68 w=1674 h=942
ppt_052_01-48-58.jpg,01:48:58,x=0 y=68 w=1674 h=942
ppt_053_01-54-10.jpg,01:54:10,x=0 y=68 w=1674 h=942
