hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,etiqueta
0.15915582785251664,9.31736559095988e-11,7.282933338976955e-12,2.3054399256212887e-17,-1.8647234733765576e-31,-1.652416456225397e-22,-2.333875517692238e-31,0
0.1591565925508079,3.776291004087957e-10,4.84424946083719e-10,1.7900839467861213e-15,1.659109813078821e-27,1.482957110685647e-20,1.6151416446216457e-28,0
0.15915658865918833,2.3713700332554905e-12,1.0804007701171744e-11,1.473154463237832e-17,-5.542059574931529e-32,-2.2597316636368882e-23,1.7739545332493664e-31,0
0.15916844204118233,4.400126009472396e-08,5.288513629104881e-08,8.314956429608328e-14,1.0024233434041228e-24,-7.342367314961185e-18,-5.421987270784999e-24,0
0.15915701660227158,2.1075063172812216e-09,1.4634837794145305e-09,2.5288542489640593e-15,-1.3865384374255524e-27,-1.1552618580325565e-19,-4.663195105498509e-27,0
0.15915502660758152,1.9502090461289214e-12,1.2931255373171303e-12,1.9716629835696718e-19,-9.953853928260745e-35,1.9694817743204277e-25,-1.887964739786117e-36,0
0.15915524221819827,7.09249816666969e-09,3.0246487047412487e-12,5.803024573274956e-17,-6.786451410895959e-31,4.885618060184994e-21,3.612613398410541e-31,0
0.1591625165717637,2.3150337991468914e-06,4.582285807429159e-11,8.78961591982239e-16,1.7618030124198387e-28,1.3344656432848385e-18,8.779645157345114e-30,0
0.15915508094168748,2.5102808419818616e-11,2.4944569306363797e-12,6.99064973057237e-21,-1.5150913982626903e-37,-2.2799902726343317e-26,9.106150011742703e-37,0
0.16662282849900195,9.5765177572892e-13,2.4872399609467275e-12,2.423167793922045e-13,-5.604647126511098e-26,1.217163530190492e-19,1.795766735584884e-25,1
0.16662475528567536,4.8069414344938154e-11,1.4697321727630774e-10,1.3826368015459504e-11,6.142919204419701e-22,9.547045233731892e-17,-1.0545120084453598e-22,1
0.16666589444148933,6.872548875479387e-33,1.3122821011443944e-32,2.572072918243012e-32,4.725399354827947e-64,-2.1322699930144718e-48,0.0,1
0.16666666666665908,1.0545622003486749e-29,4.155337771458766e-28,4.4108070287643425e-27,-3.23448381786483e-54,-4.701647850137969e-42,-5.019601961352284e-54,1
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1666361908041255,0.0,2.5152388586413196e-33,6.288097146603299e-32,-7.908033145024112e-64,0.0,0.0,1
0.16666427767987035,3.5537291264288047e-22,4.663172004339375e-12,5.07236472307858e-13,-7.801110466907475e-25,-9.562085758286941e-24,6.123327754903488e-35,1
0.16666666666666663,0.0,4.847774040574279e-34,5.386415600638088e-35,8.704041906839213e-69,0.0,0.0,1
0.16666238465646724,0.0,6.304222698977946e-33,7.004691887753273e-34,1.4719712532706955e-66,0.0,0.0,1
0.16715705346431706,0.0001637027450955791,4.789249610184872e-28,1.8091770572346478e-28,4.859113337250472e-56,-1.3811055328025643e-30,2.1792909149658253e-56,1
0.18958384478814208,0.008164256426876569,0.0,0.0,0.0,0.0,0.0,2
0.1909444979142012,0.008691971432106297,6.09889939352888e-31,3.24986750690581e-31,1.4210622070460783e-61,2.6909119204989884e-33,-2.719631719846724e-62,2
0.18761271722027353,0.007421471041213601,8.373100444334909e-12,8.986620559280415e-13,1.0380280489102943e-24,4.16784121728838e-14,-2.235912740787888e-24,2
0.18854643680225067,0.00777198105304735,9.403837913012564e-33,1.7666169489763488e-32,1.4765681132641524e-64,1.2123985814159639e-33,-1.7333638524108668e-64,2
0.18854643680225067,0.00777198105304735,9.403837913012564e-33,1.7666169489763488e-32,1.4765681132641524e-64,1.2123985814159639e-33,-1.7333638524108668e-64,2
0.2119798770323223,0.017157690488860705,0.0,0.0,0.0,0.0,0.0,2
0.17663302481686305,0.0034229144252552047,1.9506860258008055e-32,7.581532285844368e-32,2.8549941299895234e-63,1.788369470362407e-33,-5.914219726179876e-64,2
0.17582273787597041,0.003136166688697222,4.551074946823097e-13,4.947533515954415e-14,5.850777992933004e-27,-8.974099044016304e-16,4.5699800939628754e-27,2
0.18733971931950125,0.0073183926569317295,0.0,0.0,0.0,0.0,0.0,2
0.20292154278219576,0.013424196039173344,2.2023311830564947e-10,2.201961173929343e-11,3.030069302868848e-22,-1.6739080076253337e-12,1.5031653430400154e-21,2
0.21911702443601097,0.020234492619913665,2.157810777346239e-33,1.2515302508608186e-32,6.469124393873718e-65,1.6291656916753955e-33,-6.709260372038504e-66,2
0.19248040259869803,1.9121733335716554e-08,0.004566972558566403,1.4118098770429842e-09,6.843607122115671e-17,9.653343996634195e-15,-3.584258927953172e-15,3
0.2354503035975703,0.018357475658886544,0.0062879393463412,0.000684587447573806,1.0852730446505387e-06,5.186505949396736e-05,9.162952165637743e-07,3
0.1924439209261523,3.878259373292292e-06,0.004559038362789463,1.1604223197815926e-07,2.6689764116218575e-12,2.2852282303866329e-10,-2.290918105323759e-14,3
0.2570007831408968,0.029071691968867133,0.008050259613017566,0.001987113319859352,7.94714001821771e-06,0.0003387234113907959,-9.029413440598211e-08,3
0.1914558482339895,0.0002740286012520447,0.004284288423467706,7.189898044515203e-06,-1.2618948084167418e-09,-1.1902018708665751e-07,1.4696079269403885e-12,3
0.19245396553038918,1.3654989661744328e-09,0.004562446958795488,3.299995927001182e-11,-4.434346030657636e-19,-1.9549203333567268e-16,1.2797008049164028e-17,3
0.19255299081339933,5.241572407680231e-05,0.004560321680031753,1.6962644334691629e-06,1.4916029194708693e-10,1.2279141276064482e-08,2.948769575783985e-12,3
0.19244926696712247,1.3555365530188844e-09,0.0045616010809748095,2.5791446547797643e-11,7.273263248972123e-19,3.6848012249051563e-16,-8.816565002803878e-18,3
0.19250951774726627,1.513091119358613e-05,0.004566689969596486,4.675335411624294e-07,2.156133518518051e-11,1.816337824480792e-09,-1.3457429538483859e-12,3
